StartDate,EndDate,Progress,duration_seconds,Finished,ResponseId,first_time,recieved_survey,recieved_survey_3_TEXT,code_relation,code_relation_4_TEXT,age_part,sex_bio,gender,gender_4_TEXT,rel_status_1,rel_status_1_8_TEXT,relationship_length#1_1_1,relationship_length#1_2_1,children,sex_or_part,sex_or_part_5_TEXT,ethnic,ethnic_7_TEXT,grs_sat_happy,grs_com_commit,grs_int_connected,grs_tru_count,grs_pas_intense,grs_lov_love,ex_g_1,ex_g_2,e_g_3,e_g_4,e_g_5,ex_qt_1,ex_qt_2,ex_qt_3,e_qt_4,e_qt_5,e_qt_6,ex_pt_1,e_pt_2,e_pt_3,e_pt_4,ex_aos-pt_1,ex_aos-pt_2,ex_aos-pt_3,ex_aos_1,ex_aos_2,e_aos_3,e_aos_4,e_aos_5,ex_woa_1,ex_woa_2,ex_woa_3,ex_woa_4,ex_woa_5,ex_woa_6,ex_woa_rev_1,rec_g_1,rec_g_2,rec_g_3,rec_g_4,rec_g_5,rec_qt_1,rec_qt_2,rec_qt_3,rec_qt_4,rec_qt_5,rec_qt_6,rec_pt_1,rec_pt_2,rec_pt_3,rec_pt_4,rec_aos-pt_1,rec_aos-pt_2,rec_aos_pt_3,rec_aos_1,rec_aos_2,rec_aos_3,rec_aos_4,rec_aos_5,rec_woa_1,rec_woa_2,rec_woa_3,rec_woa_4,rec_woa_5,rec_woa_6,rec_woa_rev_1,honest,read,participant_rq,numbergen,randomnumber,pid,sample,time_collected,duration_minutes,rel_leng_months,rel_leng_years,ethnic_1,year_born,taken_before,pref_express,pref_recieve,top_ll,circ_sat,age_float
2024-03-15 15:26:26,2024-03-15 15:30:57,100,271,1.0,R_5HYzHsx7ZNG2nxS,1.0,2.0,,4.0,teacher for extra credit,36.0,2.0,2.0,,6.0,,20.0,8.0,3.0,1.0,,1,,,,,,,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,,10687601,,1,SONA,spring24,4.516666666666667,248.0,20.666666666666668,1.0,,,,,,,
2024-03-15 22:07:39,2024-03-15 22:13:52,100,373,1.0,R_5GqQDEdkUxUS75g,1.0,3.0,Sona Credit,,,19.0,2.0,2.0,,1.0,,,,1.0,1.0,,"1,2",,,,,,,,3.0,2.0,2.0,1.0,2.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,5.0,1.0,4.0,5.0,Do love languages change depending on who your partner is?,13515023,,2,SONA,spring24,6.216666666666667,,,8.0,,,,,,,
2024-03-16 20:32:47,2024-03-16 20:37:31,100,284,1.0,R_5Gll16babEBXIOD,1.0,1.0,,,,18.0,2.0,2.0,,3.0,,,3.0,1.0,1.0,,2,,7.0,7.0,7.0,7.0,6.0,7.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,N/a,38682372,,3,SONA,spring24,4.733333333333333,3.0,0.25,2.0,,,,,,,
2024-03-16 23:38:22,2024-03-16 23:46:46,100,504,1.0,R_2lFO6zTuv4lbWP7,1.0,3.0,Psych research credits,,,54.0,2.0,2.0,,6.0,,16.0,3.0,5.0,3.0,,"2,7",jewish,,,,,,,1.0,3.0,5.0,5.0,1.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,5.0,3.0,4.0,5.0,5.0,2.0,1.0,4.0,4.0,5.0,1.0,2.0,4.0,5.0,5.0,3.0,5.0,4.0,2.0,4.0,5.0,3.0,4.0,5.0,1.0,4.0,5.0,,99391241,,4,SONA,spring24,8.4,195.0,16.25,8.0,,,,,,,
2024-03-19 13:03:45,2024-03-19 13:11:21,100,455,1.0,R_2qKhT3FBt1vIdNi,1.0,1.0,,,,19.0,2.0,2.0,,1.0,,,,1.0,1.0,,1,,,,,,,,3.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,5.0,What certain things does your partner do that are strong signs of love? ,62705802,,5,SONA,spring24,7.583333333333333,,,1.0,,,,,,,
2024-03-21 12:22:16,2024-03-21 12:27:24,100,308,1.0,R_5g738q0emZNU9tD,1.0,1.0,,,,18.0,2.0,2.0,,1.0,,,,1.0,1.0,,"2,4",,,,,,,,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,1.0,4.0,5.0,Is there a difference you express your love for a partner vs a family member such as touch with a partner but not liking touch with family memebrs.,59064754,,6,SONA,spring24,5.133333333333334,,,8.0,,,,,,,
2024-03-26 12:45:48,2024-03-26 12:54:46,100,537,1.0,R_8Cdqj9URu0ljyoj,1.0,1.0,,,,18.0,2.0,2.0,,3.0,,1.0,9.0,1.0,1.0,,1,,7.0,7.0,7.0,7.0,6.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,1.0,4.0,5.0,"How love languages very between friendships, familial, and romantic relationships ",10207315,,7,SONA,spring24,8.95,21.0,1.75,1.0,,,,,,,
2024-03-26 13:51:30,2024-03-26 13:56:23,100,292,1.0,R_2erSaWgEuFi6aeS,1.0,1.0,,,,19.0,1.0,1.0,,1.0,,,,1.0,1.0,,2,,,,,,,,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,4.0,Researching how to get to know someone well enough to date,45704117,,8,SONA,spring24,4.866666666666666,,,2.0,,,,,,,
2024-03-26 19:07:56,2024-03-26 19:16:21,100,504,1.0,R_5HpNh4kWliOJ7rz,1.0,3.0,Sona Credit ,,,19.0,2.0,2.0,,1.0,,,,1.0,1.0,,5,,,,,,,,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,Can there be a mix of the 5 love languages? Can a person have all 5 love languages?,86811202,,9,SONA,spring24,8.4,,,5.0,,,,,,,
2024-03-26 19:20:31,2024-03-26 19:27:55,100,443,1.0,R_5MtiuoFQzqPFnbV,1.0,2.0,,2.0,,18.0,1.0,4.0,Gender Fluid,3.0,,4.0,6.0,1.0,5.0,Pansexual,5,,6.0,7.0,7.0,7.0,3.0,7.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,,96206892,86811202.0,10,SONA,spring24,7.383333333333334,54.0,4.5,5.0,,,,,,,
